ชื่อวิชา,รหัสวิชา,หน่วยกิต,คณะต้นสังกัด,กลุ่มสาระ - 64,สมรรถนะ - 67,doc_type,description,CLOs
" ศิลปะการป้องกันตัวและการต่อสู้ด้วยมวยสากล
 (Martial Art with Boxing)",01175154,1,คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,คุณค่าและประโยชน์ของศิลปะการป้องกันตัวและการต่อสู้ด้วยมวยสากล ทักษะและ ความรู้พื้นฐานมวยสากล การประยุกต์ศิลปะการป้องกันตัวและการต่อสู้ด้วยมวยสากลไปสู่ การออกกำลังกายเพื่อส่งเสริมสุขภาพในชีวิตประจำวัน,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. ออกแบบโปรแกรมการออกกำลังกายโดยใช้ทักษะกีฬามวยสากลเป็นสื่อตามความเหมาะสมของ ตนเอง 2. นำทักษะมวยสากลที่ถูกต้องไปใช้ในการออกกำลังกายเพื่อพัฒนาสมรรถภาพทางกายของตนเอง 3. แสดงออกถึงการมีวินัยรับผิดชอบ ตรงต่อเวลาซื่อสัตย์ในการเข้าร่วมกิจกรรมการเร
" ศิลปะการป้องกันตัวและการต่อสู้ด้วยยูโด
 (Martial Art with Judo)",01175155,1,คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,คุณค่าและประโยชน์ของศิลปะการป้องกันตัวและการต่อสู้ด้วยยูโด ทักษะและความรู้ พื้นฐานยูโด การประยุกต์ศิลปะการป้องกันตัวและการต่อสู้ด้วยยูโดไปสู่การออกกำลังกาย เพื่อส่งเสริมสุขภาพในชีวิตประจำวัน,ผลลัพธ์ที่เกิดขึ้นกับนสิิต 1. ออกแบบโปรแกรมการออกกำลังกายโดยใช้ทักษะกีฬายูโดเป็นสื่อตามความเหมาะสมของตนเอง 2. นำทักษะยูโดที่ถูกต้องไปใช้ในการออกกำลังกายเพื่อพัฒนาสมรรถภาพทางกายของตนเอง 3. แสดงออกถึงการมีวินัยรับผิดชอบ ตรงต่อเวลาซื่อสัตย์ในการเข้าร่วมกิจกรรม
" ศิลปะการป้องกันตัวและการต่อสู้ด้วยไอคิโด
 (Martial Art with Aikido)",01175156,1,คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,คุณค่าและประโยชน์ของศิลปะการป้องกันตัวและการต่อสู้ด้วยไอคิโด ทักษะและความรู้ พื้นฐานไอคิโด การประยุกต์ศิลปะการป้องกันตัวและการต่อสู้ด้วยไอคิโดไปสู่การออกกำลังกาย เพื่อส่งเสริมสุขภาพในชีวิตประจำวัน,ผลลัพธ์ที่เกิดขึ้นกับนสิิต 1. ออกแบบโปรแกรมการออกกำลังกายโดยใช้ทักษะไอคิโดเป็นสื่อตามความเหมาะสมของตนเอง 2. นำทักษะไอคิโดที่ถูกต้องไปใช้ในการออกกำลังกายเพื่อพัฒนาสมรรถภาพทางกายของตนเอง 3. แสดงออกถึงการมีวินัยรับผิดชอบ ตรงต่อเวลาซื่อสัตย์ในการเข้าร่วมกิจกรรมการเร
" ศิลปะการป้องกันตัวและการต่อสู้ด้วยกระบี่กระบอง
 (Martial Art with Krabi-Krabong)",01175157,1,คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,คุณค่าและประโยชน์ของศิลปะการป้องกันตัวและการต่อสู้ด้วยกระบี่กระบอง ทักษะและ ความรู้พื้นฐานการเล่นกระบี่กระบอง การประยุกต์ศิลปะการป้องกันตัวและการต่อสู้ด้วยกระบี่ กระบองไปสู่การออกกำลังกายเพื่อส่งเสริมสุขภาพในชีวิตประจำวัน,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. ออกแบบท่าไม้ตีที่แสดงออกถึงทักษะการป้องกันตัวและการต่อสู้ด้วยกระบี่กระบองตามแบบ ของตนเอง 2. นำท่ารำ ทักษะการป้องกันตัวและการต่อสู้ด้วยกระบี่กระบองที่ถูกต้องไปประยุกต์ใช้ในการฝึก เพื่อพัฒนาสมรรถภาพทางกายของตนเอง 3. แสดงออกซึ่งการมีวินัย รับผิดชอบ ตรงต่อเวลา ซื่อสัตย์ ให้เกียรติและเคารพผู้อื่น 4. แสดงออกถึงความภาคภูมิใจในความเป็นไทย อนุรักษ์และสืบทอดศิลปะการป้องกันตัวและ การต่อสู้ด้วยกระบี่กระบอง
" ศิลปะการป้องกันตัวและการต่อสู้ด้วยคาราเต้
 (Martial Art with Karate)",01175159,1,คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,คุณค่าและประโยชน์ของศิลปะการป้องกันตัวและการต่อสู้ด้วยคาราเต้ทักษะและความรู้ พื้นฐานคาราเต้การประยุกต์ศิลปะการป้องกันตัวและการต่อสู้ด้วยคาราเต้ไปสู่การออกกำลังกาย เพื่อส่งเสริมสุขภาพในชีวิตประจำวัน,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. ออกแบบโปรแกรมการออกกำลังกายโดยใช้ทักษะคาราเต้เป็นสื่อตามความเหมาะสมของตนเอง 2. นำทักษะคาราเต้ที่ถูกต้องไปใช้ในการออกกำลังกายเพื่อพัฒนาสมรรถภาพทางกายของตนเอง 3. แสดงออกถึงการมีวินัยรับผิดชอบ ตรงต่อเวลาซื่อสัตย์ในการเข้าร่วมกิจกรรมการเรียน
" ฝึกสมองด้วยการเล่นบริดจ์
 (Brain Training with Playing Bridge)",01175161,1,คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,การพัฒนาสมองด้วยกิจกรรมการเล่นบริดจ์ความรู้พื้นฐานการเล่นบริดจ์การประยุกต์ กิจกรรมบริดจ์ไปส่การออกกำล ู ังกายเพื่อพัฒนาสมองและส่งเสริมสุขภาพในชีวิตประจำวัน,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. แก้ปัญหาการเล่นบริดจ์ด้วยตนเองได้ 2. ปฏิบัติทักษะการเล่นบริดจ์ได้อย่างชำนาญ 3. แสดงออกซึ่งการมีวินัย รับผิดชอบ เคารพกติกาในการเล่นบริดจ
" โบว์ลิ่งเพื่อสุขภาพ
 (Bowling for Health)",01175162,1,คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,คุณค่าและประโยชน์ของกีฬาโบว์ลิ่ง ทักษะและความรู้พื้นฐานกีฬาโบว์ลิ่ง การประยุกต์ กีฬาโบว์ลิ่งไปสู่การออกกำลังกายเพื่อส่งเสริมสุขภาพ,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. วางแผนโปรแกรมการออกกำลังกายด้วยการเล่นโบว์ลิ่งเพื่อพัฒนาสมรรถภาพทางกายเพื่อสุขภาพได้ 2. ปฏิบัติทักษะการเล่นโบว์ลิ่งได้อย่างถูกต้อง 3. แสดงออกซึ่งการมีวินัย รับผิดชอบ ตรงต่อเวลา และซื
" กอล์ฟเพื่อสุขภาพ
 (Golf for Health)",01175163,1,คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,คุณค่าและประโยชน์ของกีฬากอล์ฟ ทักษะและความรู้พื้นฐานกีฬากอล์ฟ การประยุกต์ กีฬากอล์ฟไปสู่การออกกำลังกายเพื่อส่งเสริมสุขภาพในชีวิตประจำวัน,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. ออกแบบโปรแกรมการออกกำลังกายด้วยการเล่นกอล์ฟเพื่อพัฒนาสมรรถภาพทางกายเพื่อ สุขภาพได้ 2. ปฏิบัติทักษะการเล่นกอล์ฟได้อย่างถูกต้อง 3. แสดงออกซึ่งการมีวินัย รับผิดชอบ ตรงต่อเวลา และซื่อสัตย์
" จักรยานเพื่อสุขภาพ
 (Cycling for Health)",01175164,1,คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,คุณค่าและประโยชน์ของการขี่จักรยาน ทักษะและความรู้พื้นฐานการขี่จักรยาน การประยุกต์ การขี่จักรยานไปสู่การออกกำลังกายเพื่อส่งเสริมสุขภาพในชีวิตประจำวัน,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. วางแผนโปรแกรมการออกกำลังกายด้วยการปั่นจักรยานที่เหมาะสมสำหรับตนเองเพื่อพัฒนา สมรรถภาพทางกายเพื่อสุขภาพได้ 2. ปฏิบัติทักษะการออกกำลังกายด้วยการปั่นจักรยานที่ถูกต้องเพื่อพัฒนาสมรรถภาพทางกายเพื่อ สุขภาพได้ 3. แสดงออกซึ่งการมีวินัย รับผิดชอบ ตรงต่อเวลาและซื่อสัตย์
" การฝึกด้วยน้ำหนักเพื่อสุขภาพ
 (Weight Training for Health)",01175165,1,คณะศึกษาศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต",course_info,การออกกำลังกายด้วยกิจกรรมการฝึกด้วยน้ำหนัก ทักษะและความรู้พื้นฐาน การฝึกด้วย น้ำหนัก การประยุกต์ใช้กิจกรรมการฝึกด้วยน้ำหนักไปสู่การออกกำลังกายเพื่อส่งเสริมสุขภาพใน ชีวิตประจำวัน,ผลลัพธ์ที่เกิดขึ้นกับนิสิต 1. ออกแบบท่าออกกำลังกายด้วยการฝึกด้วยน้ำหนักที่เหมาะสมเพื่อพัฒนาสมรรถภาพทางกาย ของตนเอง 2. จัดการตนเองด้วยการลำดับวางแผนการออกกำลังกายด้วยการฝึกด้วยน้ำหนักที่เหมาะสมกับ ตนเองได้อย่างมีเหตุผลตามหลักการออกกำลังกายเพื่อสุขภาพ 3. แสดงการฝึกด้วยน้ำหนักตามโปรแกรมการฝึกรายวันได้อย่างต่อเนื่อง และจัดเรียงลำดับท่าการ ฝึกด้วยน้ำหนักตามโปรแกรมการฝึกเข้าด้วยกันได้ 4. ใช้กิจกรรมการฝึกด้วยน้ำหนักเพื่อพัฒนาสมรรถภาพทางกายของตนเองได้
