รหัสวิชา,ชื่อวิชา,หน่วยกิต,คณะต้นสังกัด,กลุ่มสาระ - 64,สมรรถนะ - 67,doc_type,reviewId,review
01005101," เทคโนโลยีเกษตรสมัยใหม่
 (Modern Agricultural Technology)",3(3-0-6),คณะเกษตร,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง",review,674009b999a191d5c9526813,ต้องเช็คชื่อทุกคาบนะ เข้าไปนั่ง ๆ นอน ๆ ก็ได้ คนที่มาสอนจะวนกันมาไม่ซ้ำหน้าเขาจำเราไม่ได้หรอก ไม่ใช่วิชาที่ง่ายขนาดนั้น เนื้อหาเยอะ ต้องเตรียมตัวอ่านหนังสือไปสอบ ถ้าถอดสมองไปสอบก็จะได้คะแนนแค่ประมาณครึ่งๆ ซึ่งเราก็ไม่เห็นจะรู้เลยว่ามันเอาอะไรไปออกบ้าง ใช้สัญชาตญาณเอา ส่วนเราเอฟเพราะลืมไปสอบปลายภาค555 ไม่เคร่งเรื่องแต่งกาย งานไม่ค่อยเยอะแต่ก็มีอยู่ประมาณนึง มันแล้วแต่ว่าสัปดาห์นั้นอาจารย์ที่สอนเค้าเก็บคะแนนจากอะไรบ้าง
01005101," เทคโนโลยีเกษตรสมัยใหม่
 (Modern Agricultural Technology)",3(3-0-6),คณะเกษตร,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง",review,65424e9799a191d5c95263a3,"เกริ่นก่อนว่าเราเรียนวิชานี้ตอนเทอม 1/2566 เรียนออนไซต์แทบทั้งหมดเลย เว้นแต่ว่าจะมีพวกพิธีรับปริญญาหรืออาจารย์ติดธุระไม่สามารถมาสอนได้ พี่TAจะส่งลิงก์คลิปวิดีโอเข้าไลน์กลุ่มให้มาศึกษากันเอง (ซึ่งจากที่เรียนมาทั้งเทอมเรียนกับคลิปแค่ 2 ครั้ง)
วิชานี้เป็นวิชาในหมวดผู้ประกอบการ ตอนแรกที่ตามรีวิวก็ว่าง่าย ๆ เลยมาลองดู ถึงเวลาเรารีวิวบ้างละ เพราะว่าเกรดออกแล้วจ้า
🌿มีเช็กชื่อทุกคาบ พี่TA ค่อนข้างใจดี เข้าห้องสายก็ได้เช็กชื่อ(เราเรียนวันพฤหัสบดี 8:00-11:00) การเช็กชื่อเป็นแบบเขียนบนกระดาษเปล่า ส่งต่อไปเรื่อย ๆ แต่ก็จะมีบ้างที่อาจารย์จะทำระบบเช็กชื่อให้ผ่านแอปนิสิต 
🌿ไม่เคร่งเรื่องเครื่องแต่งกายเลย พูดตามตรง เราใส่ชุดนิสิตแค่ครั้งแรกและครั้งที่มีสอบ😅
🌿เจออาจารย์ไม่ซ้ำหน้า มีแค่ครั้งเดียวที่เจออาจารย์คนเดิมเพราะว่าเนื้อหาต่อเนื่องกัน นอกนั้นคือไม่เจอละ อาจจะมองได้ว่าติดต่อยากนิดนึง แต่อาจารย์จะมีอีเมลให้ในสไลด์สอน(เราไม่เคยติดต่อทางอีเมลเลย ไม่แน่ใจนะว่าอาจารย์จะตอบเมลเร็วหรือช้า)
🌿สไลด์คือแล้วแต่ บางครั้งก็ได้ก่อนเข้าเรียน บางครั้งก็ได้ตอนที่เข้าไปเรียน
🌿เนื้อหาเยอะ ถ้าเป็นคนชอบจำอยู่แล้วคิดว่าสู้ไหว 
🌿มีสอบทั้งมิดเทอม(115ข้อ)และไฟนอล(115ข้อ)
🌿มีทั้งงานเดี่ยวและงานกลุ่ม งานก็ยากบ้างง่ายบ้าง งานเดี่ยวที่ยากสำหรับคนไม่ค่อยเก่งคำนวณอย่างเราคือ งานที่ต้องคำนวณเรื่องเครื่องจักร รายละเอียดค่อนข้างเยอะ ต้องรอบคอบก่อนส่ง ส่วนงานกลุ่มมีประมาณ 2 ชิ้น คืองานพากย์เสียงประกอบวิดีโอกับรายงาน 10 หน้า สมาชิกกลุ่มเป็นระบบสุ่ม ถ้าได้สมาชิกที่ขยันก็จะดี แต่ถ้าไม่ก็ต้องขยันเอง
🌿วิชานี้สำหรับเราที่ไปเรียนคนเดียวก็นับว่าโอเค ไม่ต้องติดต่ออะไรกับใครเยอะมาก
🌿ข้อสอบวิชานี้เยอะก็จริงแต่ไม่มีคำนวณที่ต้องคิดเลขยาก ๆ มีแค่ตอนมิดเทอมที่ออกคำนวณ อย่างไรก็ตามมันออกแค่ข้อสองข้อ และต้องท่องสูตร+ค่าคงที่เข้าไปหน่อยเพื่อความชัวร์ ท่องจำเต้าอั้น
🌿เราไม่ได้ซื้อสรุป เพราะฉะนั้นเราก็จะบอกว่าเนื้อหาออกตามสไลด์ อาจจะมีบ้างที่อ่านแล้วเอ๊ะ แต่ว่าไม่ต้องไปใส่ใจมันมาก ทำเท่าที่เราอ่านมาก็พอ
🌿เนื้อหาที่เรียนก็จะเกี่ยวข้องกับเทคโนโลยีเกษตรโดยเฉพาะเลย บางเรื่องก็ฟังแล้วว้าวดี ถือว่าเป็นความรู้สนุก ๆ และความรู้ใหม่ ถ้ายังไม่มีวิชาหมวดผู้ประกอบการให้เก็บหน่วยกิตล่ะก็ วิชานี้ก็ไม่แย่นะถ้าคุณจะมาเรียน"
01009102," มนุษย์และทรัพยากรธรรมชาติ
 (Humans and Natural Resources)",3(3-0-6),คณะเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง",review,67f6a14699a191d5c95268d8,เก็บเอได้ค่ะ ตอนเราเรียนไม่รู้ว่าไมค์มีปัญหารึเปล่าอาจารย์ตะโกนใส่ไมค์กันทุกคนเลย โดยรวมโอเคค่ะเพราะถึงจะมีสอบทั้งไฟนอลและมิดเทอมคะแนนงานก็มากกว่าอยู่ดีงานจุกจิกและเยอะมากๆๆๆๆ มีงานตลอดเช็กชื่อตลอดเป็นการเช็คอินในแอพนิสิต อาจารย์เวียนๆกันสอนส่วนตัว ไม่เคร่งเรื่องแต่งกาย เนื้อหาต้องท่องจำ ซื้อพวกเลคเชอร์มาอ่านตอนสอบ+ส่งงานตลอด ก็เอค่ะ
01009102," มนุษย์และทรัพยากรธรรมชาติ
 (Humans and Natural Resources)",3(3-0-6),คณะเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง",review,6673ce9599a191d5c9526689,"ตอนเราเรียนซัมเมอร์เป็นออนไลน์ อาจารย์เวียนกันสอน เก็บคะแนนโดยการควิซท้ายคาบ และมีกรอกฟอร์มเช็คชื่อทุกคาบ ควิซง่ายๆค่ะ เปิดสไลด์ดูได้เลย
- มีงานกลุ่ม 1 งาน งานเดี่ยวไม่ยากค่ะ มีให้ทำคลิปปลูกต้นไม้
- ทุกอย่างอาจารย์แจ้งไว้ล่วงหน้าและรายละเอียดค่อนข้างชัดเจน
- มีสอบไฟนอล มิดเทอม ข้อสอบไม่ได้ยากมากค่ะ ตามสไลด์อาจารย์เลย
- เหมาะกับการเก็บ A ค่ะ 💞"
01009102," มนุษย์และทรัพยากรธรรมชาติ
 (Humans and Natural Resources)",3(3-0-6),คณะเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง",review,6554fad899a191d5c9526430,"01009102 มนุษย์และทรัพยากรธรรมชาติ 3 หน่วยกิต
- มีเช็คชื่อทุกคาบเป็นแบบให้สแกน QR code และมีควิชท้ายคาบเกือบทุกคาบ แต่เป็นควิชง่ายๆไม่ยากมาก เปิดดูสไลด์ได้  
- เนื้อหาต้องท่องจำ เนื้อหาค่อนข้างเยอะ เหมาะสำหรับคนชอบจำ เนื้อหาวนๆกับเรื่องสภาวะโลกร้อน
- อาจารย์มีหลายคนเปลี่ยนตามบท อาจารย์ใจดี ถามได้ตลอด อธิบายการบ้านชัดเจน 
ดีสุดๆที่ให้เวลาทำค่อนข้างนาน เหมาะสำหรับคนลงเรียนเยอะ บางคาบมีสอนเป็นออนไลน์ด้วย 
- การแต่งกายตอนแรกอาจารย์แจ้งว่าอยากให้ใส่แต่ชุดนักศึกษาเท่านั้น แต่หลังๆไม่ได้เคร่งมาก
- มีงานคู่ 1 งาน ให้ประดิษฐ์สิ่งของจากวัสดุเหลือใช้ (DIY)
แต่คนที่ไม่มีคู่ก็ไม่ต้องห่วง อาจารย์หาคู่ให้ได้ (นี่มาเรียนคนเดียวเลยให้อาจารย์จับคู่ให้ ได้คนทำงานด้วยที่ดีมากตั้งใจทำแถมเสร็จเร็วด้วย)
- ส่วนใหญ่เป็นงานเดี่ยวมีมาให้ทำเรื่อยๆ เช่น ปลูกต้นไม้ ทำmind map 
- ข้อสอบไม่ยากมาก อาจารย์บางท่านบอกเลยว่าจะออกแนวไหนบ้างหรือควรเน้นตรงไหน ถ้าอ่านมา+ท่องชื่อคือทำได้แน่ๆ
- สรุปคือแนะนำมากสำหรับคนอยากเก็บA + ลงคนเดียวได้ รอดค่ะ ><"
01009102," มนุษย์และทรัพยากรธรรมชาติ
 (Humans and Natural Resources)",3(3-0-6),คณะเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง",review,6551c56699a191d5c95263ed,"มนุษย์และทรัพยากรธรรมชาติ
- มีอาจารย์สอนหลายคน  อาจารย์ส่วนใหญ่สอนสนุก + ใจดี
- เช็คชื่อทุกคาบ (แสกนQR Code)
- ไม่เคร่งเรื่องแต่งกาย
- ควิซหลังเรียนเกือบทุกคาบ เปิดเนื้อหาตอนทำควิซได้
- มีงานเดี่ยว ไม่ยาก เช่น บันทึกการใช้พลังงาน, ปลูกต้นไม้ ฯลฯ 
- มีงานคู่ 1 งาน (DIY)
- เนื้อหาตอนเรียนเยอะแต่ที่อาจารย์นำมาออกสอบจะเป็นจุดสำคัญๆที่อาจารย์เน้นในคาบอยู่แล้ว ข้อสอบไม่ยากขนาดนั้น ถ้าอ่านสไลด์+อ่านควิซที่ทำในคาบก่อนสอบก็รอด "
01009102," มนุษย์และทรัพยากรธรรมชาติ
 (Humans and Natural Resources)",3(3-0-6),คณะเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง",review,6489206f99a191d5c95262dd,"ทางนี้เรียนซัมเมอร์ ปี 65 ครับ (พ.ศ.2566)
- ส่วนมากจะเป็นเรียนออนไลน์ 70% ไปที่มอ 30%  
- เนื้อหาไม่ยาก แต่จำเยอะ แต่ไม่เกินมือ คิดว่าอ่านผ่านๆสักสองสามรอบ แล้วหลังจากนั้นเซนส์เอาในข้อสอบเลยครับ
- ควิซบ่อย แต่ควิซไม่ยากครับ open book ทำไปด้วยได้ (ควิซบางข้อก็จะออกไปล้อในข้อสอบมิดเทอมกับไฟนอลบางข้อครับ)
- เช็คชื่อตลอด (มีแค่บางท่านที่ไม่เช็ค แต่จะเช็คจากควิซแทน)
- ไฟนอลง่ายกว่ามิดเทอม
- งานมีมาเรื่อยๆครับ ไม่มีงานกลุ่ม ล่าสุดก็จะมีให้อนุทินการเรียนรู้/ทำใบงาน ประมาณนี้ครับ ไม่ยาก

** ไม่เคร่งเรื่องแต่งกาย แต่ขอให้สุภาพเรียบร้อยครับ **
** เอได้ครับ ตั้งใจทำควิซ+ส่งงานให้ตรงเวลา "
01009102," มนุษย์และทรัพยากรธรรมชาติ
 (Humans and Natural Resources)",3(3-0-6),คณะเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง",review,648885d199a191d5c95262dc,"**ส่วนตัวเราเรียนซัมเมอร์ปี 65 นะคะ**

รูปแบบ
- เรียนออนไลน์ 80% ออนไซต์ 20% 
- ใช้ webex /google classroom สอน
เนื้อหา
- เนื้อหาไม่ยากมาก เป็นเรื่องที่ทั่วไปของสิ่งแวดล้อมค่ะ เรื่องดิน น้ำ สัตว์ในอุตสาหกรรม มลพิษต่าง ๆ สนุกค่ะ เรียนแล้วเหมือนเปิดโลกเรานิดนึง รายละเอียดดีมาก 
- รายละเอียดเยอะแต่ไม่ยากนะคะ อาจารย์สอนดีมาก 
อาจารย์
- มีอาจารย์หลายคน อาจารย์สอนดี ใจดีมาก ๆ (ส่วนใหญ่)
การเก็บคะแนน
- มีสอบมิดเทอมเป็นออนไลน์แบ่งตามหัวข้อที่อาจารย์สอนครึ่งแรก มีสอบไฟนอลออนไซต์ 70 ข้อ เนื้อหาออกแค่ครึ่งหลัง เราชอบส่วนนี้เพราะเราจะได้ไม่อ่านแบบตาลีตาเหลือก55555
- มีคะแนนเช็คชื่อ การเช็ตชื่อจะแล้วแต่อาจารย์แต่ละคน
- อาจารย์ส่วนใหญ่จะมีควิซท้ายคาบ
- มีคะแนนเก็บจากงานเล็ก ๆ น้อย ๆ เป็นงานเดี่ยวหมดค่ะ ไม่มีงานกลุ่มในซัมเมอร์ (แต่เห็นถ้าเรียนภาคปกติมีปลูกป่าด้วยมั้งนะ)"
01015202," เกษตรวิถีไทย
 (Thai Livelihood Agriculture)",3(3-0-6),คณะเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง",review,684d883199a191d5c952696a,เป็นวิชาที่เรียนเกี่ยวกับการเกษตร เนื้อหาไม่ยากมาก อาจารย์มีหลายคนผลัดกันสอน มีเชคชื่อทุกคาบ ไม่มีสอบไฟนอลและมิดเทอม แต่จะมีให้ส่งสรุปเนื้อหาแทน เน้นทำงานเป็นหลักส่วนใหญ่คือมีงานทุกคาบแต่ไม่ยากมาก งานกลุ่มเยอะหน่อย ใครได้กลุ่มดีคือดีไป งานไม่ยากไม่ง่ายกลางๆ แต่จะมีโปรเจคใหญ่ให้ถ่ายวิดีโอ ถือว่าโอเคเลย เอง่ายถ้าส่งงานครบ
01015202," เกษตรวิถีไทย
 (Thai Livelihood Agriculture)",3(3-0-6),คณะเกษตร,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง",review,68023a2599a191d5c95268fb,"วิชานี้ไม่มีมิดเทอม และไฟนอลค่ะ
คะแนนจะมาจากการทำงาน งานกลุ่ม และการเข้าเรียนเป็นส่วนใหญ่ เพราะมีฟอร์มเช็คชื่อทุกคาบค่ะ
รู้สึกว่าพี่ทีเอ และอาจารย์ค่อนข้างเคร่งมากๆค่ะ ซีเรียสมากๆกับการเข้าเรียน และงานกลุ่มจะมาแบบชุ่ยๆนี่ไม่ได้เลย ไม่มีการบอกคะแนนระหว่างเทอมด้วยนะคะ รอเกรดออกทีเดียวเลย

แนะนำว่าลงกับเพื่อนค่ะ เวลามีงานกลุ่มจะได้ไม่เครียดมาก เพราะมันต้องอาศัยการทำงานหลายๆคนจริงๆ แบกคนเดียวน่าจะเหนื่อยค่ะ"
